Lon    Lat    Z
-72.6  -13.6   41
-73.1  -16.9   43
-72.7  -10.2   46
-74.2  -13.6   33
-68.5  -14.4   43
-78.1  -12.6   33
-67.9  -15.8   46
-74.8  -14.8   44
-71.1  -10.2   35
-65.9  -13.5   24
-69.1   -9.8   10
-75.8  -17.8   39
-73.2  -12.3   44
-68.3  -15.4   46
-77.6  -16.1   47
-68.9  -11.1   31
-81.3   -8.9   39
-81.9  -13.3   45
-73.1  -15.3   31
-81.4  -11.9   39
-77.1  -15.0   42
-74.4  -11.8   15
-68.6  -13.0   39
-71.3  -14.3   44
-73.3  -16.1   39
-70.2  -13.2   38
-74.3  -17.5   32
-76.4  -12.2   23
-73.1  -13.5   27
